"ID","time","market","cap","soe","industry","sales","net profit","book value","cash","inventory","asset","current asset","current debt","debt","equity","stock price","eps","pe"
"HPG","2007","hcm","big","no","xây dựng","5642.9","644","1.5","399.3","1580.1","4756.78","4756.8","1289.4","1554.4","3202.38","5.7","0.3","1.2"
"TRC","2016","hcm","big","yes","xây dựng","350.4","69.6","35.1","136.2","49.1","1753.4","1753.4","155.3","296","1457.4","23.2","2.8","9.9"
"TRC","2015","hcm","big","yes","xây dựng","362.9","54.8","35.1","92.7","74.2","1648.52","1648.5","98.1","237.3","1411.22","17.1","1.9","9.2"
"TRC","2014","hcm","big","yes","xây dựng","500.6","139.5","35.1","180.6","88.4","1587.25","1587.3","93.5","140.3","1446.95","20.8","4.6","4.4"
"TRC","2013","hcm","big","yes","xây dựng","671.3","229.9","35.1","590.6","94.6","1934.06","1934.1","528.2","529.7","1404.36","29.5","9","3.8"
"TRC","2012","hcm","big","yes","xây dựng","907.7","348.3","35.1","558.5","76.4","1484.2","1484.2","164.3","169.3","1314.9","27.5","9","2.3"
"TRC","2011","hcm","big","yes","xây dựng","1195.3","515.1","35.1","675","125.3","1471.26","1471.3","329.9","344.2","1127.06","19.4","9","1.1"
"TRC","2010","hcm","big","yes","xây dựng","758","274.6","27","441.2","85.6","1054.9","1054.9","263.8","287.5","767.4","38.7","9","4.2"
"TRC","2009","hcm","big","yes","xây dựng","440.4","153.3","21.4","245.2","38.9","790.9","790.8","142.5","184.6","606.3","30.7","5.4","6"
"TRC","2008","hcm","big","yes","xây dựng","549.1","198.2","17.1","150.1","27.2","660.67","660.7","127.1","156.2","504.47","12.5","6.8","1.9"
"TRC","2007","hcm","big","yes","xây dựng","491.9","177.4","15.9","299.7","19.3","817.15","817.2","315.6","356","461.15","51","6","9.5"
"PVS","2016","hn","big","yes","dầu khí","18682.1","780.7","26.2","4558.7","1650.7","15797.95","15151.1","9743.2","4045.5","11752.45","15.6","2.2","7.6"
"PVS","2015","hn","big","yes","dầu khí","23356.9","1469.7","26.5","4558.7","1190.1","24915.19","16000.7","9872.4","12313.7","11874.87","14.4","3.3","4.3"
"PVS","2014","hn","big","yes","dầu khí","27452.9","2007.6","24","4558.7","587.7","24915.19","16930.2","9992.8","12313.7","10954.94","22.1","3","5"
"PVS","2013","hn","big","yes","dầu khí","25418.5","1699.7","18.4","4558.7","715.2","23816.52","14274.2","9992.8","12313.7","9696.52","16.1","3.4","4.6"
"PVS","2012","hn","big","yes","dầu khí","24590.7","1262.6","13.9","4558.7","578.7","21223","12036.8","9506","12313.7","7876.5","9.9","2.4","2.6"
"PVS","2011","hn","big","yes","dầu khí","24312.6","1442.1","12.9","4558.7","1129.4","23546.52","14148.5","9992.8","12313.7","6862.32","7","2.8","1.5"
"PVS","2010","hn","big","yes","dầu khí","16879.6","926.4","8.8","2786","445.8","17513.2","6908.2","8207.7","12313.7","3734.9","9.9","2","2.1"
"PVS","2009","hn","big","yes","dầu khí","10679.7","574.1","7.8","1977.1","436","12400.51","5257.9","5192.2","8796.7","3603.81","10.7","1.2","3.2"
"PVS","2008","hn","big","yes","dầu khí","8671.3","537.2","5.4","1047.9","255.1","7982.13","4243.2","3625.2","5656.4","2325.73","10.4","1.2","1.9"
"PVS","2007","hn","big","yes","dầu khí","5775.7","319.1","3","929.8","131.9","4812.24","2821.2","2848.4","3669.1","1143.14","26.1","0.8","8.2"
"PVD","2016","hcm","big","yes","dầu khí","5360","241.9","35.1","2782.6","795","23142.7","23142.7","3245.9","9667.3","13475.4","20.7","0.3","42.8"
"PVD","2015","hcm","big","yes","dầu khí","14444.3","1830.9","34.7","3496.5","1003.9","24915.19","23304.8","4510.9","11611.5","13303.69","24.1","4.4","4.8"
"PVD","2014","hcm","big","yes","dầu khí","20884.3","2660.6","30.5","3208.2","1225.8","23304.8","23304.8","7144.8","11591.7","11713.1","49.6","6.4","5.9"
"PVD","2013","hcm","big","yes","dầu khí","14866.7","1993.2","25.8","2597.6","1043.7","21492.31","21492.3","6764.9","11624.5","9867.81","41.8","5.2","6.1"
"PVD","2012","hcm","big","yes","dầu khí","11929.5","1447.5","18.2","1067.7","787.8","19083.65","19083.6","5690.8","12066.5","7017.15","23.1","3.6","3.4"
"PVD","2011","hcm","big","yes","dầu khí","9210.8","1072.6","16.1","668.2","1003.1","18535.37","18535.4","5086.6","12313.7","6221.67","19.5","2.7","3.8"
"PVD","2010","hcm","big","yes","dầu khí","7572","885.5","13.6","854.6","342.4","14639.76","14639.8","3991.9","9396.8","5242.96","30","2.4","7.1"
"PVD","2009","hcm","big","yes","dầu khí","4096.8","817.7","11","874.5","321.3","12368.37","12368.3","2501.4","8129.3","4239.07","38.2","2.1","7.4"
"PVD","2008","hcm","big","yes","dầu khí","3728.7","933.1","5.6","687.8","174.5","8632.91","8632.9","3892","6008.5","2624.41","36.1","2.4","5.2"
"PVD","2007","hcm","big","yes","dầu khí","2738.6","576.4","4.9","521.9","45.7","4329.91","4329.9","705.8","2002.4","2327.51","51","1.5","9.8"
"DPM","2016","hcm","big","yes","hóa chất","7924.8","1188.6","21.1","4098.6","923.2","9568.59","9568.6","1159.3","1339.6","8228.99","19.3","2.9","6.5"
"DPM","2015","hcm","big","yes","hóa chất","9764.9","1556.7","21.9","4558.7","1365.4","10919.21","10919.2","1835.5","2371.7","8547.51","22.2","3.8","5.5"
"DPM","2014","hcm","big","yes","hóa chất","9548.9","1172.6","23.2","4558.7","1491.9","10111.04","10111","1043.9","1106.1","9004.94","20.6","2.8","6.9"
"DPM","2013","hcm","big","yes","hóa chất","10363.4","2179.2","24","4032.4","1340.7","10805.34","10805.3","1223.1","1249.2","9556.14","24.5","5.7","4.3"
"DPM","2012","hcm","big","yes","hóa chất","13321.9","3067.6","23","4558.7","1171.5","10580.49","10580.5","1396","1415","9165.49","19","7.8","2.4"
"DPM","2011","hcm","big","yes","hóa chất","9226.5","3140.6","21.4","4070.5","1160.4","9295.16","9295.2","864.5","883.2","8411.96","11","8","1.3"
"DPM","2010","hcm","big","yes","hóa chất","6618.8","1706.9","15.9","3748.5","671.3","7418.62","7418.6","924.1","1188.4","6230.22","16.6","4.4","3.7"
"DPM","2009","hcm","big","yes","hóa chất","6630.1","1351.3","14.2","2906.1","569.3","6351.18","6351.2","613.1","841.8","5509.38","13.8","3.4","3.9"
"DPM","2008","hcm","big","yes","hóa chất","6475.4","1385.3","12.1","942.7","1111.3","5192.33","5192.4","438.6","450.9","4741.43","13.6","3.5","3.7"
"DPM","2007","hcm","big","yes","hóa chất","3779","1329.5","11.2","1972.4","400.7","5738.5","5738.5","1367.7","1367.8","4370.7","27.7","6.3","7.9"
"PET","2016","hcm","big","no","tiêu dùng","9882.1","190.3","18.7","1694.4","969.7","6226.96","6227","4158.9","4579.1","1647.86","8.4","1.7","4.4"
"PET","2015","hcm","big","no","tiêu dùng","10652.5","250.9","18.2","1461.2","1300.9","5144.67","5144.7","3376.3","3570.3","1574.37","9.9","","4"
"PET","2014","hcm","big","no","tiêu dùng","11581.3","279","17.4","2050.1","1521.8","5764.53","5764.5","4206.3","4265.3","1499.23","12.2","2.1","3.6"
"PET","2013","hcm","big","no","tiêu dùng","11516.5","196.4","14.3","2100.5","1884.4","6238.59","6238.6","4820.8","4870","1368.59","11.8","1.8","5.2"
"PET","2012","hcm","big","no","tiêu dùng","10153.8","212.6","14.4","1129.9","1024.5","4266.61","4266.6","2889.9","2936.2","1330.41","6.1","2","2.2"
"PET","2011","hcm","big","no","tiêu dùng","10320.7","292.8","14","363.9","1292.2","4110.32","4110.4","2739.2","2824.6","1285.72","5.3","3.3","1.3"
"PET","2010","hcm","big","no","tiêu dùng","9854","186.6","12.3","533.5","1598.1","4381.01","4381","3211.6","3262.8","1118.21","6.6","2.1","2.5"
"PET","2009","hcm","big","no","tiêu dùng","7375","113.7","8.7","431.3","1000.7","3093.76","3093.7","2198.6","2249.8","843.96","8.5","1.4","4.1"
"PET","2008","hcm","big","no","tiêu dùng","5286.4","72.7","6.7","77.6","623.4","1597.72","1597.7","1006.3","1016.8","580.92","5","1","3.2"
"PET","2007","hcm","big","no","tiêu dùng","2514.3","50.7","6.3","38.7","501.9","1176.91","1176.9","643.8","644.8","532.11","18.6","0.6","9.4"
"SMC","2016","hcm","big","no","xây dựng","9441","374.6","17.9","265.9","1437","4650.76","4650.7","3810.3","3899.8","750.96","15.3","9","1.2"
"SMC","2015","hcm","big","no","xây dựng","10046.5","-195.6","9.4","94.9","490.6","3027.02","3027","2522.9","2635.8","391.22","4.9","-4.6","-0.7"
"SMC","2014","hcm","big","no","xây dựng","10911.5","21","13.8","458.5","1159.8","4103.13","4103.1","3415.1","3536.2","566.93","7.3","0.8","10.5"
"SMC","2013","hcm","big","no","xây dựng","9651.1","25.1","13.6","303","1157.6","3067.98","3068","2342.5","2495.5","572.48","7.9","0.7","9"
"SMC","2012","hcm","big","no","xây dựng","8963.7","69.3","13.7","196.9","372.7","2140.3","2140.3","1406.1","1551.2","589.1","7.3","2.2","3.1"
"SMC","2011","hcm","big","no","xây dựng","8939.8","73.1","13.7","236.4","423.1","2375.25","2375.3","1756.2","1800","575.25","4","1.7","1.3"
"SMC","2010","hcm","big","no","xây dựng","6857.9","82.2","12.9","142.8","855.8","2464.62","2464.6","1848.2","1918.3","546.32","9","1.9","2.7"
"SMC","2009","hcm","big","no","xây dựng","5263.7","73.1","7.5","64.4","338.9","1563.17","1563.1","1216.6","1251.4","311.77","10.7","1.7","2.2"
"SMC","2008","hcm","big","no","xây dựng","4213.8","72.1","5.7","180.9","97.7","751.25","751.3","461.3","490","261.25","5.2","1.7","0.8"
"SMC","2007","hcm","big","no","xây dựng","2998.6","46.2","5","58.1","102.9","582.15","582.2","357.2","373.7","208.45","13","1.1","2.8"
"HBC","2016","hcm","big","no","xây dựng","10766.2","569","9.5","572.3","1228.9","11449.76","11449.8","8885.6","9619.6","1830.16","14.6","2.9","2.4"
"HBC","2015","hcm","big","no","xây dựng","5078","82.2","5.5","149","923","7291.2","7291.2","5805.7","6216.8","1074.4","7.3","0.5","6.6"
"HBC","2014","hcm","big","no","xây dựng","3518.2","66.6","5.1","350.9","561.2","5803.48","5803.5","4489.5","4806.3","997.18","4.1","0.4","3.2"
"HBC","2013","hcm","big","no","xây dựng","3432.4","23.7","5","755.4","212.5","4726.76","4726.8","3679.2","3769.7","957.06","3.6","0.3","6.5"
"HBC","2012","hcm","big","no","xây dựng","4064.9","130.9","4","605.7","221.4","4580.39","4580.4","3559.7","3800.5","779.89","3","0.7","0.9"
"HBC","2011","hcm","big","no","xây dựng","3055.3","149.6","3.7","299.8","198.5","3285.39","3285.4","2472.3","2557.7","727.69","2.3","0.7","0.3"
"HBC","2010","hcm","big","no","xây dựng","1768.2","139.8","3.4","258.1","150.4","1912.94","1913","1179.2","1219.9","693.04","3.3","0.7","0.4"
"HBC","2009","hcm","big","no","xây dựng","1763.5","49.2","3","183.8","193.6","1355.94","1355.9","706.4","724.5","631.44","2.4","0.2","0.8"
"HBC","2008","hcm","big","no","xây dựng","696","8.2","2.8","79.6","396","1163.29","1163.3","462.8","573.1","590.19","1.1","0.1","2.2"
"HBC","2007","hcm","big","no","xây dựng","455.4","24.9","2.7","200.1","24.5","940.02","940.1","348.8","412.6","527.42","7.4","0.1","3"
"PGS","2016","hn","big","yes","dầu khí","4971.9","341.7","19.3","407.7","120.4","1127.83","1135.5","1121.8","161","966.83","14.2","5.1","2.1"
"PGS","2015","hn","big","yes","dầu khí","5956.3","217.8","21.3","408.9","146.3","2646.96","1290.7","1364","1578.2","1068.76","13.2","2.3","4"
"PGS","2014","hn","big","yes","dầu khí","7487.7","242.7","22.7","619.8","184.1","3202.58","1845.8","1827.9","2067.9","1134.68","13.8","2.7","2.7"
"PGS","2013","hn","big","yes","dầu khí","6902","237.7","18.6","593.8","204.1","3069.75","1739.4","1626.4","1908.5","1161.25","13.7","3.6","2.9"
"PGS","2012","hn","big","yes","dầu khí","6374.9","211.8","16","443","123.5","2921.36","1189.8","1396.9","1888.4","1032.96","7.7","2.9","1.9"
"PGS","2011","hn","big","yes","dầu khí","5764.2","342.9","14.8","586.3","75.3","3276.45","1457.1","1542.2","2309","967.45","8","4.7","1.3"
"PGS","2010","hn","big","yes","dầu khí","3705.5","274.7","7","350","135.2","2485.61","1184.1","1349.4","1921.9","563.71","10","4.5","0.7"
"PGS","2009","hn","big","yes","dầu khí","1978.9","40","3.8","167.3","75.6","1231.64","672","801.3","1039.4","192.24","5.3","0.8","2"
"PGS","2008","hn","big","yes","dầu khí","1713","30.1","3.3","34.3","11.3","824.77","499.5","293","660.2","164.57","2.3","0.6","1.2"
"PGS","2007","hn","big","yes","dầu khí","1383.5","17.5","3.2","83.9","26","757.08","533.2","383.6","597","160.08","10.4","0.3","9"
"PLC","2016","hn","big","yes","dầu khí","4804.7","204.8","16.7","605.9","733.4","1392.76","2556.3","1978.2","41.4","1351.36","23.1","2.5","9.1"
"PLC","2015","hn","big","yes","dầu khí","6916","328.6","14.2","1335.2","923","4151.34","3379.1","2972.4","3000.2","1151.14","30.2","4.1","7.4"
"PLC","2014","hn","big","yes","dầu khí","6808.2","266.8","13.7","887.1","1018.7","3578.33","2941","2476.8","2476.8","1101.53","19.9","3.3","5.3"
"PLC","2013","hn","big","yes","dầu khí","6198.3","189.2","14","568.3","875.7","3027.1","2480.8","1877.6","1895.4","1131.7","9.6","2.3","3.3"
"PLC","2012","hn","big","yes","dầu khí","6063.2","168.8","12.2","483.4","708.9","2492.75","2086.4","1494.3","1504.1","988.65","7.8","2.1","2.8"
"PLC","2011","hn","big","yes","dầu khí","6077.7","229.3","11.9","483.1","913.4","2858","2481.3","1857.2","1900.1","957.9","5.2","2.9","1.1"
"PLC","2010","hn","big","yes","dầu khí","5151.5","269.4","9.2","558.8","723.1","2270.7","2018.6","1493.4","1532","738.7","9.4","3.3","1"
"PLC","2009","hn","big","yes","dầu khí","3742.8","172.9","5.9","112.1","423.9","1303.09","1146.6","808.2","829.8","473.29","4.9","2.2","0.6"
